2019-01-29 20:25:34,696 [INFO]: start action
2019-01-29 20:25:58,222 [INFO]: start action
2019-01-29 20:28:38,970 [INFO]: start action
2019-01-29 20:37:02,353 [INFO]: start action
2019-01-29 20:38:52,650 [INFO]: start action
2019-01-29 20:39:55,123 [INFO]: start action
2019-01-29 20:40:34,360 [INFO]: start action
2019-01-29 20:40:51,073 [INFO]: start action
2019-01-29 21:48:12,870 [INFO]: start action
2019-01-29 22:11:31,117 [INFO]: start action
2019-01-29 22:11:58,394 [INFO]: start action
2019-01-29 22:12:25,485 [INFO]: start action
2019-01-29 22:14:03,752 [INFO]: start action
2019-01-29 22:14:16,511 [INFO]: start action
2019-01-29 22:14:17,592 [INFO]: This network is trained from scratch
2019-01-29 22:14:18,075 [INFO]: Starting training from step 0...
2019-01-29 22:16:31,864 [INFO]: 44100 iterations left,expected to finsh at Y-01-29 22:27:14 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:33,364 [INFO]: step 6000: gen_loss 1.662343, dis_loss 0.967693 (3494.1 examples/sec; 0.018 sec/batch)
2019-01-29 22:16:33,364 [INFO]: 44000 iterations left,expected to finsh at Y-01-29 22:27:14 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:33,378 [DEBUG]: Saving checkpoint ...
2019-01-29 22:16:34,912 [INFO]: step 6100: gen_loss 0.802635, dis_loss 1.073152 (3717.3 examples/sec; 0.017 sec/batch)
2019-01-29 22:16:34,913 [INFO]: 43900 iterations left,expected to finsh at Y-01-29 22:27:15 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:36,411 [INFO]: step 6200: gen_loss 2.572246, dis_loss 0.999389 (3544.9 examples/sec; 0.018 sec/batch)
2019-01-29 22:16:36,411 [INFO]: 43800 iterations left,expected to finsh at Y-01-29 22:27:15 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:37,897 [INFO]: step 6300: gen_loss 1.126942, dis_loss 0.859019 (3431.2 examples/sec; 0.019 sec/batch)
2019-01-29 22:16:37,897 [INFO]: 43700 iterations left,expected to finsh at Y-01-29 22:27:15 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:39,387 [INFO]: step 6400: gen_loss 1.008752, dis_loss 0.915726 (3718.7 examples/sec; 0.017 sec/batch)
2019-01-29 22:16:39,387 [INFO]: 43600 iterations left,expected to finsh at Y-01-29 22:27:15 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:40,918 [INFO]: step 6500: gen_loss 1.185100, dis_loss 1.162858 (4019.2 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:40,918 [INFO]: 43500 iterations left,expected to finsh at Y-01-29 22:27:16 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:42,407 [INFO]: step 6600: gen_loss 0.247426, dis_loss 1.917294 (3738.0 examples/sec; 0.017 sec/batch)
2019-01-29 22:16:42,407 [INFO]: 43400 iterations left,expected to finsh at Y-01-29 22:27:16 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:43,953 [INFO]: step 6700: gen_loss 0.852582, dis_loss 1.154089 (3867.7 examples/sec; 0.017 sec/batch)
2019-01-29 22:16:43,954 [INFO]: 43300 iterations left,expected to finsh at Y-01-29 22:27:17 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:45,464 [INFO]: step 6800: gen_loss 2.089717, dis_loss 1.097520 (3977.6 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:45,464 [INFO]: 43200 iterations left,expected to finsh at Y-01-29 22:27:17 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:46,987 [INFO]: step 6900: gen_loss 1.755376, dis_loss 0.825430 (4444.3 examples/sec; 0.014 sec/batch)
2019-01-29 22:16:46,987 [INFO]: 43100 iterations left,expected to finsh at Y-01-29 22:27:18 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:48,513 [INFO]: step 7000: gen_loss 2.268677, dis_loss 0.876769 (4017.0 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:48,513 [INFO]: 43000 iterations left,expected to finsh at Y-01-29 22:27:18 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:48,525 [DEBUG]: Saving checkpoint ...
2019-01-29 22:16:49,986 [INFO]: step 7100: gen_loss 2.220676, dis_loss 1.020428 (4204.8 examples/sec; 0.015 sec/batch)
